Area,Value,Room,Living,School,Year,Floor
151,900,3,2,1,2000,18
143,420,3,2,1,2000,26
50,280,2,1,0,1997,18
58,220,2,1,1,1987,6
143,480,3,2,1,2011,18
80,345,2,1,1,2000,26
133,390,3,2,1,2000,7
53,235,1,1,0,1988,18
62,302,2,1,1,1988,6
99,750,2,1,1,2003,15
80,315,1,1,0,1998,25
53,235,1,1,1,2009,17
45,152,1,1,1,1993,6
165,280,3,2,0,2003,7
145,180,3,2,0,1999,8
89,461,3,1,1,2003,17
63,181,1,1,0,1999,28
110,235,2,2,0,2004,9
81,205,2,1,0,2003,6
93,566,1,2,0,2003,25
153,550,3,1,1,1996,30
141,630,3,2,1,2004,6
71,310,2,1,1,2004,6
104,495,2,2,1,2000,13
55,192,2,1,0,1989,6
40,120,1,1,0,1998,30
71,165,1,2,0,2008,11
53,248,2,1,1,1983,6
101,205,3,1,1,1992,6
139,380,3,1,1,2004,4
47,310,2,1,1,1984,6
58,195,2,1,1,1984,6
73,200,2,1,1,1999,24
62,280,2,1,0,1991,25
95,340,3,1,0,2011,9
153,660,3,2,1,2000,20
68,326,2,2,1,1993,18
101,199,2,3,1,2004,12
57,181,2,1,0,1993,6
74,300,2,1,1,1996,24
61,310,2,1,1,1989,18
84,400,3,1,1,1985,15
113,300,3,2,0,2005,20
144,590,3,2,0,1997,22
63,195,2,1,1,1998,6
158,820,3,2,1,2011,18
89,305,2,2,1,2000,6
67,203,1,1,0,2005,20
96,270,2,1,0,2001,7
59,275,2,1,1,1960,5
62,310,2,1,1,1992,6
57,195,2,1,0,1990,6
60,325,1,1,1,2001,19
107,418,2,1,1,2001,24
66,260,2,1,1,1980,16
63,193,1,1,0,2003,24
88,188,2,1,0,2004,7
77,280,3,1,1,1994,6
59,273,2,1,0,1989,18
178,600,4,2,0,2005,7
53,108,1,0,1,2012,23
176,510,3,2,0,2000,28
125,270,3,2,1,2005,12
93,388,2,2,1,2004,27
150,470,4,2,1,2000,22
149,325,3,1,0,2003,15
68,365,2,1,1,1994,9
74,295,3,1,1,1988,6
83,265,3,1,1,1990,18
55,250,2,1,1,1991,6
55,230,2,1,0,1986,6
85,270,2,2,0,1996,6
95,498,2,1,1,2004,16
93,460,2,2,1,1998,12
57,350,2,0,1,1958,3
48,170,1,1,0,2002,26
63,190,2,1,0,1983,6
58,125,2,1,1,1991,6
132,630,3,1,1,2002,20
64,215,2,1,0,2002,6
78,390,2,1,1,2000,6
137,770,3,2,1,2004,18
78,170,2,1,1,2003,6
64,215,2,1,0,2002,6
62,258,2,1,1,1988,14
137,405,3,2,1,2010,2
197,740,4,2,0,2004,26
80,155,2,1,1,1999,6
31,190,1,0,0,2002,12
120,470,3,2,0,2007,25
63,210,2,1,1,1989,22
41,168,1,1,0,1990,16
63,185,2,1,0,1994,6
142,700,3,1,1,2011,12
98,395,2,2,1,2011,6
87,390,2,1,1,2000,14
71,197,1,1,1,2004,6
103,208,3,1,1,1994,6
63,270,1,1,1,1997,22
46,220,2,1,0,1976,4
48,115,1,1,1,1993,6
95,280,3,2,1,2012,0
72,288,2,2,1,1991,12
52,175,1,0,0,1995,20
118,275,3,1,0,1995,18
71,238,2,1,0,2001,19
83,335,2,2,0,1998,14
93,560,2,2,0,2010,26
139,590,2,2,0,2002,15
124,260,3,2,1,2000,15
115,335,3,1,1,1998,6
54,250,2,1,1,1995,6
56,158,2,1,0,1978,5
157,1180,3,2,1,2002,15
109,550,2,1,0,2000,18
187,350,4,2,0,2003,15
84,500,2,2,0,1982,12
53,180,2,1,1,1996,6
114,300,3,1,1,1999,18
63,290,1,1,0,2010,22
52,185,2,1,0,1982,5
60,270,2,1,1,1980,6
217,745,4,2,1,2012,15
91,535,2,1,1,1998,12
85,156,2,1,1,1996,6
75,330,2,1,0,1986,24
55,150,2,1,1,1992,6
101,540,2,2,1,2004,28
126,749,4,2,1,1985,20
112,250,2,2,1,2000,7
47,240,2,1,1,1996,6
88,275,2,2,1,2000,18
42,152,1,1,1,1988,6
92,490,3,1,0,1995,6
136,1000,3,2,1,2010,23
52,270,2,1,1,1999,4
60,165,2,1,0,1978,5
180,455,4,2,1,2001,5
99,229,3,2,1,1999,6
93,220,2,1,1,2008,11
100,315,2,1,1,2002,26
181,950,3,2,1,2004,13
70,135,2,1,1,1995,6
76,170,2,1,1,2009,6
88,213,2,2,0,1997,6
56,404,2,1,0,1981,6
114,250,3,1,0,2004,23
117,352,3,2,1,1999,13
169,505,3,2,1,2010,18
87,345,2,1,1,1995,12
179,1100,4,2,1,1999,17
186,590,4,2,0,1998,24
62,295,1,1,0,2011,2
58,218,2,1,1,1981,6
60,325,2,1,1,1985,16
61,174,2,1,0,1995,6
111,560,2,1,1,2000,6
197,790,3,2,1,2005,29
120,365,2,2,1,2000,21
74,170,1,2,1,2002,5
68,435,3,1,1,1980,5
93,201,2,1,1,2003,18
100,249,3,1,1,1995,6
73,185,2,1,1,1995,5
60,175,1,1,0,2013,10
65,385,2,1,1,1963,6
81,370,2,1,1,1997,6
82,162,2,2,1,1996,6
108,690,2,2,1,2013,26
290,2750,3,2,0,2007,8
45,194,1,1,1,1986,14
65,270,2,1,0,1997,6
77,255,2,2,0,2001,20
94,205,2,2,1,2006,8
136,435,3,2,1,2000,24
99,605,2,2,1,1998,6
98,245,2,2,0,2005,6
89,720,2,1,1,2000,6
117,370,3,1,0,2003,10
50,170,2,1,1,1987,12
107,427,2,2,0,1989,15
99,710,2,1,1,2004,16
121,690,2,2,0,2004,16
106,265,3,2,1,2002,6
64,318,1,1,1,2004,16
60,195,2,1,1,1987,16
87,160,2,1,1,2005,19
198,1280,4,2,1,2003,11
97,245,2,1,0,2009,6
46,210,1,1,0,1996,9
110,580,3,1,1,1999,18
60,148,1,1,1,2008,17
68,110,1,0,0,2012,7
68,200,1,1,0,2000,6
59,213,2,1,0,1992,28
59,210,1,0,1,2008,32
129,588,3,2,1,2005,5
70,297,2,1,0,1986,16
31,113,1,1,0,2010,12
62,315,2,1,1,1992,6
54,185,2,1,0,1979,12
58,220,2,1,1,1987,6
88,590,2,1,1,2000,5
134,265,3,1,0,1999,6
198,380,3,2,0,2005,7
69,145,1,1,1,2005,4
57,210,1,1,0,1996,16
58,350,2,1,1,1983,6
159,356,3,2,0,2001,14
65,308,2,1,0,2003,28
57,139,2,1,0,1992,6
68,203,2,1,1,1998,7
63,195,2,1,1,1989,6
64,308,2,1,1,1994,16
61,295,1,2,1,2006,18
69,139,1,1,1,1992,6
134,350,2,1,1,1996,28
80,329,2,2,1,2009,22
91,260,2,1,0,2007,7
63,170,2,1,0,1995,7
295,1650,4,2,1,2004,11
164,835,3,2,1,1999,6
105,520,2,2,0,2000,15
129,530,3,2,1,2000,23
62,220,2,0,1,1980,22
46,93,1,1,1,2006,12
37,260,1,1,1,1983,6
48,150,2,1,0,1980,6
92,360,2,1,0,2000,18
107,280,2,2,1,2003,16
112,630,2,2,0,2002,9
58,252,2,1,1,1988,12
89,305,2,2,1,2000,6
55,185,2,1,1,1994,16
112,390,3,2,0,2006,11
149,410,4,1,0,2000,22
64,300,2,1,0,1980,14
71,226,1,1,1,2003,32
51,251,2,1,0,1989,2
123,500,3,2,0,2000,16
75,340,3,1,1,2007,29
117,250,3,1,0,2006,6
51,340,2,1,1,1973,6
135,380,2,2,0,2000,33
148,1000,3,2,1,2000,7
204,430,3,2,1,2006,11
56,225,1,0,0,2000,25
62,177,2,1,0,1995,24
97,280,3,1,1,1996,18
92,418,3,1,0,1992,16
110,460,2,1,1,2002,21
82,355,2,2,1,2004,24
87,185,2,1,0,2001,6
97,465,3,1,0,1996,6
54,350,1,1,1,2005,16
118,242,3,2,0,2012,26
53,220,1,1,0,2003,17
55,230,2,1,0,1986,6
54,280,2,1,1,1982,20
99,271,2,2,1,2004,18
164,1300,3,1,1,2004,12
92,202,2,1,1,2001,25
93,290,2,1,1,2006,17
107,330,3,2,0,2003,10
62,153,1,1,1,2005,11
108,248,2,2,1,2004,11
120,200,3,2,1,2000,7
81,325,3,1,1,1994,18
94,330,2,1,0,2000,1
130,385,3,1,1,2007,14
37,200,1,1,1,1993,6
92,220,2,2,1,2000,6
86,320,3,1,0,1991,12
39,180,1,1,1,1993,6
59,175,1,1,1,2008,6
51,165,2,1,0,2012,17
57,132,1,1,1,1996,6
51,190,2,1,1,1992,18
128,510,2,2,0,2005,18
132,350,3,2,0,2008,6
88,270,2,1,1,2002,6
106,465,3,2,0,2004,15
58,213,2,1,1,1984,6
78,630,3,1,1,1980,6
72,199,2,2,0,2012,21
61,320,2,1,1,1985,6
69,315,2,1,1,1992,12
95,258,2,2,1,2000,6
153,710,3,2,0,2009,6
185,580,4,2,0,2005,5
78,210,3,1,1,1988,6
92,485,2,2,0,2002,18
116,395,2,2,1,2005,16
60,195,2,1,0,1993,18
72,320,3,1,1,1990,16
40,142,1,1,0,1987,6
59,230,2,1,1,1985,6
80,275,1,1,1,2000,25
90,330,2,1,1,2003,19
38,200,1,1,1,1989,15
91,272,2,2,1,2002,22
65,308,2,1,1,1996,6
59,254,2,1,1,1993,6
31,190,1,0,0,2002,12
154,205,3,2,1,2000,7
110,320,2,2,0,2005,15
167,880,3,2,1,1995,28
78,180,2,1,1,2014,34
115,240,2,2,0,2001,7
119,299,3,1,1,2005,6
82,265,2,2,0,1992,21
78,180,2,1,1,2014,34
66,382,2,1,0,1994,18
75,380,2,1,1,1989,19
58,390,3,1,1,1975,5
74,320,2,1,1,2000,6
54,215,2,1,0,2002,15
68,503,2,1,1,1994,16
165,720,3,2,1,1999,9
56,165,1,1,1,1998,30
139,380,3,1,1,2004,4
50,235,2,1,1,1983,6
85,240,3,1,0,1995,6
80,275,1,1,1,2000,25
57,220,2,1,0,1998,5
107,330,2,1,1,2002,12
178,500,3,2,0,2000,28
43,185,1,1,1,1989,25
46,165,1,1,1,1998,12
75,278,1,1,1,2004,27
138,500,2,1,0,2002,30
50,170,1,1,0,2009,8
110,400,2,2,1,2008,32
54,168,2,1,1,2002,6
60,240,2,1,0,1989,18
58,132,1,1,1,2005,12
54,175,2,1,0,1985,6
59,280,2,1,0,1987,6
60,192,2,1,1,1989,6
117,670,4,1,1,2003,6
111,257,2,1,1,1999,7
94,340,2,2,1,2007,18
62,430,2,1,0,1980,16
102,380,2,2,1,1993,26
93,320,3,2,1,2009,6
64,240,2,1,0,1995,18
50,249,1,1,1,2002,16
67,270,3,1,0,1989,6
82,408,2,2,1,1997,6
100,330,2,1,0,2004,28
48,185,2,1,1,1980,6
59,286,2,1,1,1985,6
102,495,2,1,1,2000,23
48,170,1,1,0,2002,26
68,205,2,1,1,2012,20
63,230,1,1,1,1998,24
41,235,1,1,1,1998,6
57,260,3,1,1,1988,6
92,195,2,1,0,1996,5
111,360,3,1,0,2002,24
55,370,2,1,1,1998,5
99,300,2,1,0,2003,32
63,170,2,1,0,1995,7
193,680,4,2,0,2006,9
49,150,1,1,0,1989,18
99,240,2,1,0,2003,6
134,760,3,2,0,2012,15
90,275,2,2,1,1997,6
108,440,2,2,0,2003,18
68,330,3,1,1,1985,6
106,540,3,2,1,1990,7
88,415,2,2,0,2007,6
57,205,2,1,0,1992,6
65,403,2,1,1,1996,16
72,200,1,1,1,2000,22
82,300,2,1,0,2006,9
94,395,2,2,1,2005,28
63,270,2,1,1,1994,18
104,222,2,1,1,2001,7
85,170,2,1,0,2009,9
68,420,2,1,1,1994,18
151,900,3,2,1,2000,18
69,230,3,1,0,1994,6
142,335,3,2,0,2005,9
89,350,2,1,0,1999,7
222,1400,3,2,0,2007,17
53,185,2,1,0,1982,6
49,240,2,1,1,1990,6
110,300,2,1,0,2000,28
69,139,1,1,1,1992,6
98,470,2,2,0,2005,20
57,123,1,0,1,2003,22
96,270,2,1,0,2001,7
88,315,2,1,0,2010,9
67,330,2,1,1,1998,28
94,252,2,2,0,2007,28
38,155,1,1,1,1980,1
103,380,3,1,1,1996,22
63,300,2,1,0,1985,18
152,740,3,2,0,2005,16
102,270,3,1,0,2000,11
187,265,2,1,0,2003,7
108,320,3,1,0,2006,10
136,435,3,2,1,2000,24
83,280,3,1,1,1999,6
68,315,3,1,0,1982,6
87,240,2,2,1,1999,18
83,398,2,1,0,1998,6
92,395,2,1,0,2008,13
107,460,2,1,1,2000,29
115,240,2,2,0,2001,7
55,310,1,1,1,2004,16
89,350,2,1,0,1999,7
38,145,1,1,0,1982,15
65,160,1,1,0,2004,15
58,315,2,1,1,1987,6
90,240,2,1,1,2001,9
55,273,1,1,1,2000,14
90,360,2,1,1,2002,26
67,364,1,1,1,2004,15
145,580,4,2,0,1989,18
44,105,1,0,1,2003,22
48,215,1,1,1,1988,16
57,195,2,1,0,1990,6
93,388,2,2,1,2004,27
127,235,3,1,1,1998,6
93,350,2,1,0,2000,1
62,215,3,1,0,1981,6
136,400,3,2,1,2004,6
64,328,2,1,0,1985,6
130,580,3,2,1,2001,16
105,390,2,1,1,2004,21
60,215,1,1,0,2004,26
81,340,2,1,0,2001,17
69,286,2,1,0,1999,6
56,205,1,1,0,2003,13
59,219,2,1,1,1989,6
57,350,2,0,1,1958,3
64,110,1,0,0,2003,22
147,358,3,1,0,2001,1
78,370,2,2,1,2003,18
75,160,2,1,1,1995,6
61,165,2,1,0,1992,12
77,237,3,1,1,1988,6
69,240,3,1,1,1984,6
49,120,1,1,1,1994,6
84,205,3,2,1,1996,6
184,800,3,2,1,1999,17
114,310,3,1,1,2000,25
68,365,2,1,1,1994,9
106,390,2,1,0,2001,22
67,165,2,1,1,2013,18
44,170,1,1,1,1986,12
114,250,3,1,0,2004,23
46,255,1,1,1,1980,12
65,235,2,1,0,1992,21
98,350,2,2,1,2000,28
58,205,2,1,1,1993,6
66,188,1,1,1,2001,24
122,690,3,2,0,2003,6
59,194,2,1,0,1985,13
80,460,2,1,1,1984,18
93,308,2,2,0,2007,26
51,175,1,1,0,2007,16
70,385,2,1,1,2003,6
101,240,2,2,1,2003,23
103,560,3,2,0,1990,14
67,215,1,1,0,2000,6
118,510,3,2,0,2001,26
91,530,2,1,1,1998,27
87,240,2,1,0,2001,22
63,306,2,1,0,2009,13
54,185,2,1,0,1979,12
53,132,1,1,0,1995,6
60,355,2,1,0,1963,6
83,278,2,1,1,2008,25
187,950,3,2,0,2003,31
58,425,2,1,1,1982,6
99,175,2,2,1,2004,18
41,175,1,1,1,1980,5
73,239,2,2,1,2002,6
96,400,1,1,1,1996,18
212,950,4,2,1,2000,21
60,200,2,1,0,1989,14
87,255,2,2,1,1998,6
57,250,1,1,0,2005,20
124,350,3,1,1,2000,16
80,480,2,2,1,1984,6
73,200,2,1,1,1999,24
78,170,2,1,1,2003,6
111,325,2,1,1,2004,9
196,530,4,2,0,2005,5
126,330,3,2,1,2004,11
68,315,3,1,0,1982,6
75,345,3,1,1,1998,6
165,280,3,2,0,2003,7
92,650,2,1,1,2004,9
62,148,1,1,1,2005,11
62,140,2,1,0,1983,6
91,320,2,1,1,1998,26
117,352,3,2,1,1999,13
58,310,2,1,1,1984,6
79,170,2,1,1,1995,6
84,255,2,1,1,2000,5
85,268,2,1,0,2006,1
75,230,2,1,0,1995,22
55,210,2,1,0,1979,6
56,225,1,0,0,2000,25
45,165,1,1,0,2011,17
58,220,2,1,1,1985,6
141,252,3,2,0,2002,6
108,290,3,2,1,2000,6
90,480,2,2,0,2005,16
84,380,1,1,1,2000,14
52,280,2,1,1,2002,5
74,380,2,1,1,2000,1
64,227,2,1,0,1990,25
42,145,1,1,0,1987,24
83,475,2,1,1,1999,16
60,270,2,1,1,1980,6
48,185,2,1,0,1990,7
158,845,3,2,1,2000,16
74,180,2,1,1,1994,6
85,155,2,2,1,2007,17
62,195,1,0,0,2006,23
85,530,2,2,1,2005,16
83,475,2,1,1,1999,16
103,230,2,2,1,2004,18
106,420,2,2,0,2002,26
46,130,1,1,0,1993,16
119,490,3,2,0,1999,17
82,220,2,2,1,2005,22
66,135,1,1,0,2012,2
121,450,3,1,0,1996,6
137,680,3,2,1,2004,21
66,290,2,1,1,1989,21
80,205,2,1,1,2005,11
45,194,1,1,1,1986,14
87,390,2,2,1,2005,18
51,298,2,1,1,2003,6
91,199,2,1,0,2004,11
178,950,3,2,1,2000,27
59,185,2,1,1,1990,6
187,350,4,2,0,2003,15
231,680,3,2,1,2005,3
200,830,4,1,0,2010,29
80,290,2,1,1,2000,7
110,425,2,2,0,2009,36
91,149,3,1,1,2009,6
89,470,2,1,0,1994,19
58,309,2,1,1,1998,6
80,293,1,1,0,2009,6
66,330,2,1,1,1980,5
63,335,3,1,1,1993,6
39,280,1,0,1,2003,16
146,470,3,2,1,2000,19
63,210,2,1,1,1989,22
92,190,2,2,1,2008,6
66,382,2,1,0,1994,18
62,290,2,1,1,1997,4
93,145,2,1,0,2002,6
60,290,2,1,1,1985,16
126,750,3,2,0,2004,16
104,208,3,1,0,2001,6
58,220,2,1,1,1987,6
149,410,4,1,0,2000,22
108,440,2,2,1,2003,9
57,295,2,1,0,1981,5
128,338,3,2,1,2000,29
65,295,2,1,1,1990,25
152,970,4,2,0,2000,7
144,530,3,2,1,2001,29
93,300,2,1,0,2005,21
108,260,2,2,0,2002,6
102,220,2,1,1,2004,28
61,490,2,1,1,1984,5
114,570,2,2,0,2000,7
108,195,3,1,1,1998,18
59,285,2,1,1,1985,16
124,299,3,2,1,2006,6
145,615,3,2,0,2005,17
97,245,2,1,0,2009,6
141,700,2,2,1,2004,13
64,255,2,1,1,1988,6
127,385,3,2,1,2000,25
114,400,2,1,0,2006,21
68,315,3,1,0,1982,6
74,360,2,1,0,2000,20
114,300,3,1,1,1999,18
33,200,1,1,1,2003,12
66,173,1,1,1,2003,18
57,214,2,1,0,1985,6
53,310,2,1,1,1989,5
101,260,2,1,1,1995,15
52,294,1,1,1,1983,20
134,740,2,1,1,2004,13
42,180,1,1,1,1885,6
44,180,1,1,1,1990,16
61,165,2,1,1,1994,6
78,210,3,1,1,1988,6
62,309,2,1,1,1981,5
421,1400,4,3,1,2007,2
143,480,3,2,1,2011,18
83,300,2,1,0,2009,9
80,345,2,1,1,2000,26
98,245,2,2,1,2006,9
89,170,3,1,0,2009,21
44,240,1,1,1,1980,6
63,235,2,1,0,1993,6
154,450,3,2,0,2002,14
124,430,2,2,1,2000,29
205,630,5,2,1,2010,5
129,655,3,2,1,2006,18
121,299,3,1,0,2000,6
101,355,2,1,1,2001,17
59,280,2,1,0,1987,6
96,202,2,2,1,2010,28
62,135,2,1,0,1994,6
102,273,2,1,1,2000,18
61,230,2,1,0,1985,6
46,130,1,1,0,1993,16
56,195,2,1,0,1989,6
72,215,2,1,0,1998,6
64,255,2,1,1,1988,6
68,398,2,1,1,2000,15
80,245,2,1,1,1996,18
96,605,2,1,1,2011,24
106,388,3,1,1,2006,13
84,255,2,1,1,2000,5
64,255,1,1,1,2001,28
178,600,4,2,0,2005,7
47,102,2,1,1,1990,6
69,275,2,1,1,2004,28
42,198,1,1,1,1985,17
92,418,3,1,0,1992,16
72,255,2,1,1,1992,12
98,750,2,2,0,1998,19
61,189,2,1,0,1983,6
58,175,1,1,1,2003,21
64,235,2,1,0,1992,20
85,400,2,1,0,2005,17
64,295,2,1,1,1995,6
112,360,2,2,0,1998,28
147,750,3,2,0,2004,16
164,1300,3,1,1,2004,12
87,320,2,1,1,2005,13
101,310,2,1,0,1998,22
44,190,1,1,1,2000,12
153,428,3,2,0,2002,8
44,158,1,1,0,1989,25
93,290,2,1,1,2006,17
57,242,2,1,0,1985,6
66,130,2,1,0,2000,6
99,170,2,2,0,2000,6
91,220,2,2,1,2001,7
121,375,3,2,0,2005,5
102,218,2,1,1,2004,28
165,1350,3,2,0,2001,26
166,990,3,2,0,2000,27
60,135,2,1,1,1944,6
80,325,3,1,0,1989,20
122,232,3,2,0,2002,6
63,193,1,1,0,2003,24
100,190,2,2,0,2009,27
42,241,1,1,1,1983,6
137,405,3,2,1,2010,2
49,235,2,1,0,1988,21
184,930,3,2,0,2011,35
64,298,1,1,0,2005,19
77,285,2,2,0,1997,14
134,550,2,2,0,2000,15
134,500,3,2,1,2007,12
91,255,2,1,1,2010,20
61,205,2,1,0,1998,6
78,265,2,1,1,2000,7
147,358,3,1,0,2001,1
104,472,2,1,0,2000,26
64,130,1,1,1,1994,6
57,225,2,1,1,1980,6
123,680,2,1,1,2003,14
81,225,2,1,1,2007,21
116,390,3,2,1,2000,24
81,218,3,0,0,1963,6
122,630,2,1,0,2004,11
186,590,4,2,0,1998,24
47,130,2,1,0,1987,5
93,462,2,1,1,2002,27
81,325,3,1,1,1994,18
295,1650,4,2,1,2004,11
51,150,1,1,1,2000,15
100,220,2,1,0,2004,12
89,422,2,1,1,2008,16
72,480,2,1,1,1996,7
71,238,1,1,1,2008,25
62,420,2,1,1,1980,16
68,326,2,2,1,1993,18
68,315,3,1,0,1982,6
42,315,1,1,1,2001,6
65,370,2,1,0,1986,6
66,350,2,1,1,1992,20
72,169,1,1,0,2003,6
92,395,2,1,0,2008,13
80,295,2,1,0,1989,22
165,280,3,2,0,2001,32
68,242,2,1,1,1998,18
134,860,3,1,1,2007,9
158,790,3,2,1,2000,6
186,950,4,2,1,2006,13
202,810,4,2,0,2009,8
99,290,2,2,0,2004,5
89,210,2,1,0,2000,20
110,425,2,2,0,2009,36
118,235,3,2,1,2000,7
51,298,2,1,1,1980,5
135,338,3,2,1,2004,6
177,560,3,2,0,2000,25
57,230,2,1,1,1991,6
96,210,2,1,1,2000,1
42,180,1,1,1,1885,6
97,241,3,1,0,2003,6
33,190,1,1,1,2009,19
60,163,2,1,0,1993,6
55,185,2,1,1,1994,16
142,385,3,2,1,2000,22
164,270,3,2,1,2000,1
145,485,3,2,1,2007,27
59,175,2,1,0,1990,6
84,260,2,1,1,1998,18
54,320,1,1,0,1984,6
93,455,3,1,1,1992,7
154,450,3,2,0,2002,14
55,155,2,1,1,1991,6
38,168,1,1,0,1980,6
56,138,1,1,1,2000,25
124,253,3,2,0,2007,6
118,275,3,1,0,1995,18
64,182,1,1,0,2001,6
82,650,3,1,0,2003,15
61,275,2,1,1,1987,16
69,185,3,1,1,1994,6
71,310,2,1,1,2004,6
102,255,2,2,0,1993,3
141,250,3,1,0,2001,17
98,300,2,2,0,2008,6
127,650,2,2,0,2004,4
58,330,2,1,0,1983,6
94,325,3,1,1,2000,15
192,910,3,2,1,2004,18
64,198,2,1,0,1995,6
126,750,3,1,1,1985,20
68,203,2,1,1,1998,7
125,450,3,2,1,2004,16
166,1150,3,2,1,2004,11
75,240,2,1,1,1999,20
42,175,1,1,1,1991,19
89,215,2,2,0,2002,7
48,225,1,1,0,2007,25
57,128,2,1,1,1981,5
78,270,2,2,0,2004,9
180,430,2,2,0,1996,0
51,175,2,1,0,2012,16
118,295,3,2,0,2004,6
135,640,3,2,0,2001,26
109,475,3,2,1,1991,6
106,390,2,1,0,2001,22
62,175,2,1,0,1999,6
78,355,3,1,1,1990,18
97,355,2,2,0,1999,24
65,268,2,1,0,1999,16
58,208,1,2,0,1990,25
73,118,1,1,0,1999,8
107,280,2,2,1,2003,16
69,257,1,1,1,2006,28
51,195,2,1,0,2001,6
289,2453,4,2,1,2012,18
50,165,1,1,0,1995,9
119,235,3,2,1,2004,6
50,170,2,1,1,1987,12
61,189,1,1,0,1998,24
72,360,3,1,1,1987,6
73,419,2,2,0,1995,12
72,288,2,2,1,1991,12
89,620,2,1,1,1990,22
117,670,4,1,1,2003,6
166,1220,3,2,1,2005,15
89,305,2,2,1,2000,6
44,290,1,1,1,1994,9
70,214,1,1,1,1998,10
70,295,2,1,1,1985,16
91,330,2,2,1,2011,25
124,308,3,2,1,2003,6
67,360,2,1,1,1996,7
83,333,2,1,0,1987,18
70,202,1,2,1,2005,16
46,160,1,1,1,1998,30
121,258,3,2,0,2008,6
118,540,2,2,0,2002,28
108,325,3,1,1,1998,16
95,350,2,2,1,2004,9
112,288,3,2,1,2000,7
65,270,2,1,0,1997,6
135,868,4,2,0,1983,7
113,300,3,2,0,2005,20
65,235,2,1,0,1992,21
70,190,2,1,1,1998,6
69,145,1,1,1,2005,4
47,130,2,1,0,1987,5
78,190,2,1,1,1999,13
125,280,3,1,0,2007,6
37,260,1,1,1,1983,6
71,215,2,1,0,1979,25
51,165,2,1,0,2012,17
59,460,2,1,1,1983,6
46,195,1,1,0,1999,19
52,270,2,1,1,1999,4
74,320,1,2,1,2000,24
77,270,3,1,0,1986,6
62,309,2,1,1,1981,5
69,257,1,1,1,2006,28
90,245,2,1,1,2010,6
58,140,1,1,0,1997,20
192,750,4,2,1,2006,4
111,380,2,1,0,1998,32
127,318,3,2,0,2005,12
148,255,3,2,0,2005,4
87,299,1,2,0,2005,18
70,270,2,1,1,1990,6
38,100,1,1,1,2000,25
167,880,3,2,1,1995,28
49,162,1,1,1,1995,6
89,350,2,1,1,1995,6
55,163,1,1,1,1999,18
99,500,2,1,1,1998,7
204,430,3,2,1,2006,11
76,160,1,1,1,2001,19
95,350,2,2,1,2004,9
107,330,3,2,0,2003,10
45,152,1,1,1,1993,6
110,320,2,2,0,2005,15
114,350,3,1,0,2000,20
91,410,2,2,0,2004,9
62,190,2,1,0,1995,6
138,500,2,1,0,2002,30
49,195,2,1,0,1994,6
60,355,2,1,0,1963,6
83,320,3,1,1,1994,1
89,461,3,1,1,2003,17
91,375,2,1,1,2004,18
149,410,4,1,0,2000,22
62,134,2,1,1,1991,6
55,108,1,1,0,2006,12
144,366,3,2,0,2004,11
95,298,2,1,0,2002,10
123,533,2,1,0,2000,24
99,283,2,1,1,2000,24
36,190,1,1,1,2003,6
107,418,2,1,1,2001,24
125,320,3,2,1,2006,6
56,190,2,1,1,1988,6
58,370,2,1,1,1996,5
93,380,2,2,1,1999,30
84,226,2,2,0,2005,17
68,230,2,1,1,1995,5
290,2750,3,2,0,2007,8
91,353,2,2,1,2000,16
139,325,3,1,1,2005,6
77,237,3,1,1,1988,6
93,475,2,1,1,1990,16
137,770,3,2,1,2004,18
97,210,2,1,1,2013,11
111,257,2,1,1,1999,7
66,195,1,1,1,2002,7
63,265,2,1,1,1997,6
42,275,1,1,1,1996,6
93,388,2,2,1,2004,27
106,323,3,1,1,1997,18
202,860,3,2,1,1999,16
84,255,2,1,1,2000,5
81,168,3,1,1,1986,4
158,358,3,2,1,2006,16
104,222,2,1,1,2001,7
69,257,1,1,1,2006,28
124,875,2,2,1,2004,13
53,248,2,1,1,1994,6
110,510,2,2,0,1999,22
43,185,1,1,1,1989,25
134,350,2,1,1,1996,28
113,430,2,1,0,1997,23
51,118,1,1,0,2012,23
217,745,4,2,1,2012,15
57,148,1,0,1,2004,25
72,220,2,1,1,1996,18
156,820,3,1,1,2001,16
99,439,2,2,1,2005,26
40,238,1,1,1,1985,12
48,185,1,1,0,1987,6
122,399,2,1,1,2000,22
93,365,2,1,0,2005,16
152,720,4,2,1,2004,11
60,325,1,1,1,2001,19
65,268,2,1,0,1999,16
75,290,2,1,1,2006,27
99,229,3,2,0,1999,6
183,1450,4,2,1,2002,14
45,242,1,1,1,1988,6
73,270,2,1,1,1994,18
101,200,2,1,1,2000,19
68,205,1,1,0,2002,6
46,145,1,1,1,1993,6
91,185,2,1,1,2000,6
83,150,1,1,1,1996,5
104,243,3,1,0,2007,20
74,170,1,2,1,2002,5
110,520,2,2,0,2001,16
99,270,2,1,0,2004,4
113,290,3,2,0,2005,15
57,210,1,1,0,2000,26
42,135,1,0,0,2009,28
187,265,2,1,0,2003,7
47,98,1,1,0,1990,6
99,290,3,1,1,2000,24
95,290,3,1,1,2000,25
158,820,3,2,1,2011,18
61,189,2,1,0,1983,6
83,280,3,1,1,1996,6
159,410,3,1,1,2000,14
85,500,3,1,1,1967,4
132,400,3,2,1,1998,6
109,660,3,1,0,1998,22
100,220,2,1,0,2004,12
